sku;arima_order;sarima_order;sarima_seasonal_order;sarima_PDQ_todos_zeros;aic_arima;aic_sarima;previsoes_arima_sarima_identicas;max_abs_diff_previsao_arima_sarima;rmse_entre_vetores_previsao_arima_sarima;teste_constante;cv_teste;range_teste
4745;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;785.6390991472977;785.6390991472977;True;0.0;0.0;True;0.0;0.0
790357;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;-930.8664707852502;-930.8664707852502;True;0.0;0.0;True;0.0;0.0
1174;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;-266.8314732789232;-266.8314732789232;True;0.0;0.0;True;0.0;0.0
790699;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;625.1337140132304;625.1337140132304;True;0.0;0.0;False;7.191949522280762;1.0
899503;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;1663.4456202881709;1663.4456202881709;True;0.0;0.0;True;0.0;0.0
7714;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;792.2461004486745;792.2461004486745;True;0.0;0.0;False;6.459201817273745;2.0
2903;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;183.89954860714673;183.89954860714673;True;0.0;0.0;True;0.0;0.0
2910;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;1009.9385176244648;1009.9385176244648;True;0.0;0.0;True;0.0;0.0
811080;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;2830.824177554199;2830.824177554199;True;0.0;0.0;False;13.076271858692296;24.0
2201;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;3491.0876418224534;3491.0876418224534;True;0.0;0.0;False;18.983267197908667;51.0
MK447;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;788.9539912698458;788.9539912698458;True;0.0;0.0;True;0.0;0.0
2205;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;3379.285452226005;3379.285452226005;True;0.0;0.0;False;27.738055707604016;61.0
MK390;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;1500.8896385224484;1500.8896385224484;True;0.0;0.0;False;3.728351033994607;1.0
